wavelength_nm,detector_V
1520.0000,0.617404
1520.0010,0.619544
1520.0020,0.620280
1520.0030,0.624368
1520.0040,0.621058
1520.0050,0.638960
1520.0060,0.633716
1520.0070,0.626603
1520.0080,0.622311
1520.0090,0.621578
1520.0100,0.640682
1520.0110,0.641041
1520.0120,0.620294
1520.0130,0.634408
1520.0140,0.629066
1520.0150,0.665628
1520.0160,0.644730
1520.0170,0.650382
1520.0180,0.643240
1520.0190,0.654893
1520.0200,0.658176
1520.0210,0.667423
1520.0220,0.650268
1520.0230,0.660091
1520.0240,0.665678
1520.0250,0.659739
1520.0260,0.658260
1520.0270,0.685118
1520.0280,0.689414
1520.0290,0.675631
1520.0300,0.671940
1520.0310,0.700108
1520.0320,0.701976
1520.0330,0.689332
1520.0340,0.672303
1520.0350,0.707071
1520.0360,0.695727
1520.0370,0.697791
1520.0380,0.715185
1520.0390,0.729583
1520.0400,0.720409
1520.0410,0.717640
1520.0420,0.723427
1520.0430,0.722500
1520.0440,0.721639
1520.0450,0.728269
1520.0460,0.756464
1520.0470,0.737637
1520.0480,0.732512
1520.0490,0.738724
1520.0500,0.759258
1520.0510,0.739123
1520.0520,0.733482
1520.0530,0.758409
1520.0540,0.748262
1520.0550,0.754359
1520.0560,0.756988
1520.0570,0.770057
1520.0580,0.743585
1520.0590,0.760889
1520.0600,0.747669
1520.0610,0.761071
1520.0620,0.755880
1520.0630,0.754885
1520.0640,0.745701
1520.0650,0.776045
1520.0660,0.766515
1520.0670,0.764716
1520.0680,0.772237
1520.0690,0.767844
1520.0700,0.759141
1520.0710,0.795448
1520.0720,0.776720
1520.0730,0.752031
1520.0740,0.793866
1520.0750,0.795715
1520.0760,0.780633
1520.0770,0.765530
1520.0780,0.760117
1520.0790,0.782979
1520.0800,0.758650
1520.0810,0.771889
1520.0820,0.769969
1520.0830,0.768546
1520.0840,0.761667
1520.0850,0.784327
1520.0860,0.783813
1520.0870,0.753601
1520.0880,0.753604
1520.0890,0.763844
1520.0900,0.778029
1520.0910,0.762828
1520.0920,0.755454
1520.0930,0.754864
1520.0940,0.759961
1520.0950,0.753843
1520.0960,0.756812
1520.0970,0.744531
1520.0980,0.769322
1520.0990,0.742383
1520.1000,0.757332
1520.1010,0.733265
1520.1020,0.731859
1520.1030,0.739912
1520.1040,0.754091
1520.1050,0.728484
1520.1060,0.734168
1520.1070,0.731331
1520.1080,0.744420
1520.1090,0.725087
1520.1100,0.723521
1520.1110,0.722377
1520.1120,0.721321
1520.1130,0.706948
1520.1140,0.726602
1520.1150,0.715709
1520.1160,0.716552
1520.1170,0.697571
1520.1180,0.711757
1520.1190,0.705823
1520.1200,0.704595
1520.1210,0.710968
1520.1220,0.704086
1520.1230,0.722417
1520.1240,0.703006
1520.1250,0.709551
1520.1260,0.707833
1520.1270,0.688562
1520.1280,0.697530
1520.1290,0.694638
1520.1300,0.682096
1520.1310,0.711343
1520.1320,0.704075
1520.1330,0.707139
1520.1340,0.692290
1520.1350,0.705079
1520.1360,0.714599
1520.1370,0.706645
1520.1380,0.697408
1520.1390,0.713140
1520.1400,0.714078
1520.1410,0.684658
1520.1420,0.701895
1520.1430,0.704351
1520.1440,0.692610
1520.1450,0.684592
1520.1460,0.702209
1520.1470,0.700208
1520.1480,0.694841
1520.1490,0.699801
1520.1500,0.724453
