wavelength_nm,transmission
1.535000000000000000e+03,9.416082651173148799e-01
1.535000999999999976e+03,9.365096615464801877e-01
1.535001999999999953e+03,9.439487111916942119e-01
1.535002999999999929e+03,9.449836213727181855e-01
1.535003999999999905e+03,9.336888652152881551e-01
1.535004999999999882e+03,9.365531577900514382e-01
1.535005999999999858e+03,9.425393720157159150e-01
1.535006999999999834e+03,9.410264770560355929e-01
1.535007999999999811e+03,9.424850193124698627e-01
1.535008999999999787e+03,9.393982006735793755e-01
1.535009999999999764e+03,9.465835324627814851e-01
1.535010999999999740e+03,9.464301194329973743e-01
1.535011999999999716e+03,9.438335671768398605e-01
1.535012999999999693e+03,9.483264175163141907e-01
1.535013999999999669e+03,9.459330474365564845e-01
1.535014999999999645e+03,9.408689795861461258e-01
1.535015999999999622e+03,9.460219063025591124e-01
1.535016999999999598e+03,9.409497726817812602e-01
1.535017999999999574e+03,9.485351817062498414e-01
1.535018999999999551e+03,9.450554625620656291e-01
1.535019999999999527e+03,9.447472410329667003e-01
1.535020999999999503e+03,9.429922649586274241e-01
1.535021999999999480e+03,9.508332388144387082e-01
1.535022999999999456e+03,9.455498723594291111e-01
1.535023999999999432e+03,9.446774506944560779e-01
1.535024999999999409e+03,9.452028822487642534e-01
1.535025999999999385e+03,9.489592178880905671e-01
1.535026999999999362e+03,9.485082593405177454e-01
1.535027999999999338e+03,9.489118792905752997e-01
1.535028999999999314e+03,9.491966885987453972e-01
1.535029999999999291e+03,9.562504664553138634e-01
1.535030999999999267e+03,9.462667285065585743e-01
1.535031999999999243e+03,9.460499961628809906e-01
1.535032999999999220e+03,9.450485451983385854e-01
1.535033999999999196e+03,9.509703375111638879e-01
1.535034999999999172e+03,9.532232311519318602e-01
1.535035999999999149e+03,9.484506361627087490e-01
1.535036999999999125e+03,9.457430689862571516e-01
1.535037999999999101e+03,9.460012464988678538e-01
1.535038999999999078e+03,9.520952488735756614e-01
1.535039999999999054e+03,9.526578526420679260e-01
1.535040999999999030e+03,9.520476847821179867e-01
1.535041999999999007e+03,9.474015554575027087e-01
1.535042999999998983e+03,9.511790819657123253e-01
1.535043999999998960e+03,9.509023587676528333e-01
1.535044999999998936e+03,9.514939055936543211e-01
1.535045999999998912e+03,9.542867788498130555e-01
1.535046999999998889e+03,9.518757550539352907e-01
1.535047999999998865e+03,9.538757522571182923e-01
1.535048999999998841e+03,9.516075745965930643e-01
1.535049999999998818e+03,9.526693502499485877e-01
1.535050999999998794e+03,9.542121124900229123e-01
1.535051999999998770e+03,9.460309141282374767e-01
1.535052999999998747e+03,9.507519392746250908e-01
1.535053999999998723e+03,9.503187469207908800e-01
1.535054999999998699e+03,9.498128836990122892e-01
1.535055999999998676e+03,9.514345450295257356e-01
1.535056999999998652e+03,9.586801765883865567e-01
1.535057999999998628e+03,9.494009792848099316e-01
1.535058999999998605e+03,9.568999211483432132e-01
1.535059999999998581e+03,9.464564604464390518e-01
1.535060999999998558e+03,9.520081750417825894e-01
1.535061999999998534e+03,9.541571626495201075e-01
1.535062999999998510e+03,9.560081500842629865e-01
1.535063999999998487e+03,9.566639679091193393e-01
1.535064999999998463e+03,9.571469569212858186e-01
1.535065999999998439e+03,9.527318945222871260e-01
1.535066999999998416e+03,9.524293495790127073e-01
1.535067999999998392e+03,9.578613717781702119e-01
1.535068999999998368e+03,9.538137262733104027e-01
1.535069999999998345e+03,9.496244514636733580e-01
1.535070999999998321e+03,9.503410927986820633e-01
1.535071999999998297e+03,9.513422827745531274e-01
1.535072999999998274e+03,9.571534039850567721e-01
1.535073999999998250e+03,9.558779651402400379e-01
1.535074999999998226e+03,9.582125499803637592e-01
1.535075999999998203e+03,9.538828024287386853e-01
1.535076999999998179e+03,9.563660470309015560e-01
1.535077999999998156e+03,9.583732084407715623e-01
1.535078999999998132e+03,9.547713150192647102e-01
1.535079999999998108e+03,9.579725643540679680e-01
1.535080999999998085e+03,9.536334418066695351e-01
1.535081999999998061e+03,9.549635441562162042e-01
1.535082999999998037e+03,9.550223654423583008e-01
1.535083999999998014e+03,9.518984709556510548e-01
1.535084999999997990e+03,9.587611984059952741e-01
1.535085999999997966e+03,9.550661557182741346e-01
1.535086999999997943e+03,9.571231868749480176e-01
1.535087999999997919e+03,9.591246420043134657e-01
1.535088999999997895e+03,9.591152354641893085e-01
1.535089999999997872e+03,9.601171276395555898e-01
1.535090999999997848e+03,9.571871532477540523e-01
1.535091999999997824e+03,9.560124518035598706e-01
1.535092999999997801e+03,9.575103741644851452e-01
1.535093999999997777e+03,9.512025733892273127e-01
1.535094999999997754e+03,9.522851974487310800e-01
1.535095999999997730e+03,9.529036670024282341e-01
1.535096999999997706e+03,9.543253878283993741e-01
1.535097999999997683e+03,9.600324828516837439e-01
1.535098999999997659e+03,9.549295910677242372e-01
1.535099999999997635e+03,9.571560982511311266e-01
1.535100999999997612e+03,9.639820318434576540e-01
1.535101999999997588e+03,9.574755710129629893e-01
1.535102999999997564e+03,9.619653444104309115e-01
1.535103999999997541e+03,9.553946224683960153e-01
1.535104999999997517e+03,9.584203185247255341e-01
1.535105999999997493e+03,9.555541292104999807e-01
1.535106999999997470e+03,9.581094153859396334e-01
1.535107999999997446e+03,9.629373004538036573e-01
1.535108999999997422e+03,9.527765046425372697e-01
1.535109999999997399e+03,9.615324057133951552e-01
1.535110999999997375e+03,9.608537927761309216e-01
1.535111999999997352e+03,9.576336121433539628e-01
1.535112999999997328e+03,9.543325723664001226e-01
1.535113999999997304e+03,9.605111515980278014e-01
1.535114999999997281e+03,9.582097381279861548e-01
1.535115999999997257e+03,9.613627423721943233e-01
1.535116999999997233e+03,9.606230352930604788e-01
1.535117999999997210e+03,9.670455994443308834e-01
1.535118999999997186e+03,9.597831937906672328e-01
1.535119999999997162e+03,9.567480411835217469e-01
1.535120999999997139e+03,9.616598380677346958e-01
1.535121999999997115e+03,9.619227231582410109e-01
1.535122999999997091e+03,9.665787910511577374e-01
1.535123999999997068e+03,9.645811003220405855e-01
1.535124999999997044e+03,9.627660711658766468e-01
1.535125999999997020e+03,9.672890537466632965e-01
1.535126999999996997e+03,9.567773754553849930e-01
1.535127999999996973e+03,9.590693437667360266e-01
1.535128999999996950e+03,9.580173115073408185e-01
1.535129999999996926e+03,9.602589909231910026e-01
1.535130999999996902e+03,9.564054561559331979e-01
1.535131999999996879e+03,9.645461370748450447e-01
1.535132999999996855e+03,9.612093430800675575e-01
1.535133999999996831e+03,9.563070833449258679e-01
1.535134999999996808e+03,9.582194468872726745e-01
1.535135999999996784e+03,9.636266592148086119e-01
1.535136999999996760e+03,9.658153424513534757e-01
1.535137999999996737e+03,9.705393895911704760e-01
1.535138999999996713e+03,9.742969489020625318e-01
1.535139999999996689e+03,9.643875785648335919e-01
1.535140999999996666e+03,9.588596444694353904e-01
1.535141999999996642e+03,9.543768877465571565e-01
1.535142999999996618e+03,9.640626198537308733e-01
1.535143999999996595e+03,9.598261413215180005e-01
1.535144999999996571e+03,9.615020442092822028e-01
1.535145999999996548e+03,9.608000946726682479e-01
1.535146999999996524e+03,9.627697731750992638e-01
1.535147999999996500e+03,9.676807638293786207e-01
1.535148999999996477e+03,9.641283997358153224e-01
1.535149999999996453e+03,9.629484900337559328e-01
1.535150999999996429e+03,9.595227045661529619e-01
1.535151999999996406e+03,9.570483491400102460e-01
1.535152999999996382e+03,9.618830865793607243e-01
1.535153999999996358e+03,9.636939060183803418e-01
1.535154999999996335e+03,9.710609592899687170e-01
1.535155999999996311e+03,9.645900311879824773e-01
1.535156999999996287e+03,9.680790792560117763e-01
1.535157999999996264e+03,9.622296261091061176e-01
1.535158999999996240e+03,9.595652243965253625e-01
1.535159999999996217e+03,9.605222314744965573e-01
1.535160999999996193e+03,9.615590058127839734e-01
1.535161999999996169e+03,9.730505173685229936e-01
1.535162999999996146e+03,9.613273411948084490e-01
1.535163999999996122e+03,9.680426195407746404e-01
1.535164999999996098e+03,9.611522583568882228e-01
1.535165999999996075e+03,9.685650971342047999e-01
1.535166999999996051e+03,9.664529847247695926e-01
1.535167999999996027e+03,9.643605468595251029e-01
1.535168999999996004e+03,9.648975117501280563e-01
1.535169999999995980e+03,9.625144242498627767e-01
1.535170999999995956e+03,9.669904307003029942e-01
1.535171999999995933e+03,9.634583323914156505e-01
1.535172999999995909e+03,9.604475290584358893e-01
1.535173999999995885e+03,9.603094527834594718e-01
1.535174999999995862e+03,9.661823746275760572e-01
1.535175999999995838e+03,9.718787804678135078e-01
1.535176999999995815e+03,9.662723506514345750e-01
1.535177999999995791e+03,9.652273795368232490e-01
1.535178999999995767e+03,9.669143695127733196e-01
1.535179999999995744e+03,9.710637910438408849e-01
1.535180999999995720e+03,9.667856237164696998e-01
1.535181999999995696e+03,9.643322883965937953e-01
1.535182999999995673e+03,9.704686531698184515e-01
1.535183999999995649e+03,9.678256258822853786e-01
1.535184999999995625e+03,9.723203300362648349e-01
1.535185999999995602e+03,9.669765572133831588e-01
1.535186999999995578e+03,9.614116674698025555e-01
1.535187999999995554e+03,9.609024449120063815e-01
1.535188999999995531e+03,9.730439487396455034e-01
1.535189999999995507e+03,9.733996755597557060e-01
1.535190999999995483e+03,9.658513349942918769e-01
1.535191999999995460e+03,9.651006883457019514e-01
1.535192999999995436e+03,9.725428702679785875e-01
1.535193999999995413e+03,9.623321985667578904e-01
1.535194999999995389e+03,9.632443971509442315e-01
1.535195999999995365e+03,9.694591750502250527e-01
1.535196999999995342e+03,9.653696516829265439e-01
1.535197999999995318e+03,9.669894335828018717e-01
1.535198999999995294e+03,9.664176457867870162e-01
1.535199999999995271e+03,9.684828622162729994e-01
1.535200999999995247e+03,9.728232912386713949e-01
1.535201999999995223e+03,9.676161591190365341e-01
1.535202999999995200e+03,9.698896890524882908e-01
1.535203999999995176e+03,9.591730212885719586e-01
1.535204999999995152e+03,9.672382760305748839e-01
1.535205999999995129e+03,9.641193353137406108e-01
1.535206999999995105e+03,9.626757803717649331e-01
1.535207999999995081e+03,9.640968714496994663e-01
1.535208999999995058e+03,9.663311101403113668e-01
1.535209999999995034e+03,9.713890143094916496e-01
1.535210999999995011e+03,9.624773133003949876e-01
1.535211999999994987e+03,9.679625724842686463e-01
1.535212999999994963e+03,9.659602159254490061e-01
1.535213999999994940e+03,9.666427356941433846e-01
1.535214999999994916e+03,9.720206834939422169e-01
1.535215999999994892e+03,9.702180301856661027e-01
1.535216999999994869e+03,9.734707716270821765e-01
1.535217999999994845e+03,9.675584641212678916e-01
1.535218999999994821e+03,9.654477232564758760e-01
1.535219999999994798e+03,9.673907668433442408e-01
1.535220999999994774e+03,9.693106015219624672e-01
1.535221999999994750e+03,9.691010261473201881e-01
1.535222999999994727e+03,9.641110071412775095e-01
1.535223999999994703e+03,9.688640558603972552e-01
1.535224999999994679e+03,9.694682601496074081e-01
1.535225999999994656e+03,9.786782080483477086e-01
1.535226999999994632e+03,9.761683725471647088e-01
1.535227999999994609e+03,9.653004221774806881e-01
1.535228999999994585e+03,9.676159850029034670e-01
1.535229999999994561e+03,9.629635967996900137e-01
1.535230999999994538e+03,9.665061086737560814e-01
1.535231999999994514e+03,9.701826562867077453e-01
1.535232999999994490e+03,9.737946799540216913e-01
1.535233999999994467e+03,9.661056909881818866e-01
1.535234999999994443e+03,9.664559351135100229e-01
1.535235999999994419e+03,9.605335949311573085e-01
1.535236999999994396e+03,9.685220551423621149e-01
1.535237999999994372e+03,9.649727684869187083e-01
1.535238999999994348e+03,9.671541171884383559e-01
1.535239999999994325e+03,9.658136239021952729e-01
1.535240999999994301e+03,9.689929541493976783e-01
1.535241999999994277e+03,9.623877752500490379e-01
1.535242999999994254e+03,9.635989412253848085e-01
1.535243999999994230e+03,9.780322948159435592e-01
1.535244999999994207e+03,9.644135527824340137e-01
1.535245999999994183e+03,9.652237919041763980e-01
1.535246999999994159e+03,9.770060355872393076e-01
1.535247999999994136e+03,9.813258553100131509e-01
1.535248999999994112e+03,9.650662849208558880e-01
1.535249999999994088e+03,9.683262817802710254e-01
1.535250999999994065e+03,9.712119890583376103e-01
